folder,file name,image size,adjacent,initial frame,equatorial frame,equatorial size,value 0 ch0,puncta 0 ch0,x 0,y 0,w 0,h 0,quality ch0,num frame,new punctate ch0,new punctate ch1,puncta 0 ch1,quality ch1,value 0 ch1,colocalization ch0 ch1,colocalization weight ch0 ch1,new colocalization ch0 ch1,square quality,value 1 ch0,value 2 ch0,value 3 ch0,value 4 ch0,value 5 ch0,value 6 ch0,value 7 ch0,value 8 ch0,puncta 1 ch0,puncta 2 ch0,puncta 3 ch0,puncta 4 ch0,puncta 5 ch0,puncta 6 ch0,puncta 7 ch0,puncta 8 ch0,x 1,x 2,x 3,x 4,x 5,x 6,x 7,x 8,y 1,y 2,y 3,y 4,y 5,y 6,y 7,y 8,w 1,w 2,w 3,w 4,w 5,w 6,w 7,w 8,h 1,h 2,h 3,h 4,h 5,h 6,h 7,h 8,puncta 1 ch1,puncta 2 ch1,puncta 3 ch1,puncta 4 ch1,puncta 5 ch1,puncta 6 ch1,puncta 7 ch1,puncta 8 ch1,value 1 ch1,value 2 ch1,value 3 ch1,value 4 ch1,value 5 ch1,value 6 ch1,value 7 ch1,value 8 ch1,value 9 ch0,puncta 9 ch0,x 9,y 9,w 9,h 9,puncta 9 ch1,value 9 ch1
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL CY3 ALIX_3/Captured 15.nd2-output,(series 1).tif,1024,False,0,0,0.0546875,11.243623695921997,<puncta_detect_util.Puncta object at 0x7f6c7fe81750>,0.829102,0.853516,0.0546875,0.0546875,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6bc0559810>,True,390.98418201689856,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL CY3 ALIX_3/Captured 15.nd2-output,(series 1).tif,1024,False,0,0,0.0839844,57.6607809359748,<puncta_detect_util.Puncta object at 0x7f6bc0559dd0>,0.849609,0.649414,0.0820312,0.0839844,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c80083e50>,True,200.5771339440921,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL CY3 ALIX_3/Captured 15.nd2-output,(series 1).tif,1024,False,0,0,0.185547,-13.078564407046088,<puncta_detect_util.Puncta object at 0x7f6bc0559510>,0.92041,0.538086,0.151367,0.185547,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c7feb0c50>,True,223.45308093053973,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL CY3 ALIX_3/Captured 15.nd2-output,(series 1).tif,1024,False,0,0,0.141602,50.72814240791422,<puncta_detect_util.Puncta object at 0x7f6c7feb8510>,0.924316,0.73291,0.141602,0.137695,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6bc0559890>,True,205.42918893373917,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL CY3 ALIX_3/Captured 15.nd2-output,(series 1).tif,1024,False,0,0,0.149414,26.13470589492863,<puncta_detect_util.Puncta object at 0x7f6bc0559e50>,0.953613,0.869629,0.0810547,0.149414,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6bc0559790>,True,324.6399060110898,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL CY3 ALIX_3/Captured 15.nd2-output,(series 1).tif,1024,False,0,0,0.0585938,15.082302091448128,<puncta_detect_util.Puncta object at 0x7f6c7feb8650>,0.972168,0.0292969,0.0556641,0.0585938,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c25b60890>,True,296.2949658743096,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL CY3 ALIX_3/Captured.nd2-output,(series 1).tif,1024,False,0,0,0.117188,-19.046986119732082,<puncta_detect_util.Puncta object at 0x7f6c7feb8f50>,0.364258,0.76709,0.117188,0.108398,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f6bc05591d0>,True,1792.6259964110468,0.0,2.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL CY3 ALIX_3/Captured.nd2-output,(series 1).tif,1024,False,0,0,0.163086,28.621063541754665,<puncta_detect_util.Puncta object at 0x7f6bc03c4c50>,0.377441,0.0268555,0.163086,0.0537109,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f6bc0559d10>,True,466.2280986000378,0.0,1.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL CY3 ALIX_3/Captured.nd2-output,(series 1).tif,1024,False,0,0,0.128906,-5.492960141994445,<puncta_detect_util.Puncta object at 0x7f6c7feb8050>,0.383789,0.292969,0.128906,0.117188,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c803ea410>,True,41.53930678161851,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL CY3 ALIX_3/Captured.nd2-output,(series 1).tif,1024,False,0,0,0.0976562,24.143342569123888,<puncta_detect_util.Puncta object at 0x7f6bc03c4850>,0.808594,0.448242,0.0976562,0.0957031,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6bc0559410>,True,360.6770371218918,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
